Morning Run,Monday 08-Sep-2025 at 10:30 AM,0.61,6:22,5.75,10:26
Morning Run,Monday 08-Sep-2025 at 10:51 AM,0.61,6:08,5.97,10:03
2.88 km Run in 00:30:41,Thursday 02-Oct-2025 at 05:36 AM,2.88,30:22,5.69,10:32
